[GIN] 2019/02/26 - 13:33:32 | 200 |      1.9969ms |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:49:01 | 200 |       995.8µs |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:49:01 | 403 |            0s |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:49:01 | 403 |            0s |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:49:02 | 200 |       998.4µs |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:49:09 | 200 |    3.0280488s |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:49:10 | 200 |       998.5µs |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:49:10 | 200 |      1.9919ms |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:49:11 | 403 |            0s |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:49:11 | 403 |            0s |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:49:11 | 200 |       986.8µs |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:49:11 | 403 |            0s |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:49:11 | 403 |            0s |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:49:11 | 200 |       997.6µs |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:49:11 | 200 |      1.9991ms |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:49:12 | 403 |            0s |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:49:12 | 403 |            0s |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:49:12 | 200 |       999.9µs |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:51:35 | 200 |       996.1µs |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:51:36 | 200 |       996.4µs |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:51:36 | 200 |       997.3µs |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:51:36 | 200 |      1.0006ms |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:51:36 | 200 |            0s |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:51:37 | 403 |            0s |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:51:37 | 200 |       997.8µs |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:51:37 | 403 |            0s |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:52:12 | 200 |       997.3µs |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:52:13 | 200 |            0s |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:52:14 | 200 |       996.9µs |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:52:14 | 200 |            0s |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:52:14 | 200 |       997.3µs |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:52:15 | 200 |       995.4µs |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:52:15 | 200 |      1.0003ms |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:52:16 | 200 |       999.1µs |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:52:16 | 200 |            0s |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:52:17 | 200 |       997.6µs |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:52:17 | 200 |            0s |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:52:18 | 200 |      2.9924ms |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:52:18 | 200 |       998.2µs |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:52:18 | 200 |       996.7µs |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:52:19 | 200 |            0s |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:52:19 | 200 |       998.1µs |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:52:19 | 200 |       997.3µs |       127.0.0.1 | GET      /auth?username=test&password=test123456
